iter	Passed	Remaining
410	4761	1031
411	4769	1018
412	4775	1006
413	4783	993
414	4790	981
415	4796	968
416	4802	955
417	4808	943
418	4815	930
419	4821	918
420	4831	906
421	4839	894
422	4847	882
423	4853	869
424	4859	857
425	4867	845
426	4873	833
427	4881	821
428	4887	808
429	4894	796
430	4901	784
431	4907	772
432	4916	760
433	4924	748
434	4932	736
435	4937	724
436	4944	712
437	4950	700
438	4957	688
439	4964	677
440	4972	665
441	4979	653
442	4986	641
443	4993	629
444	4999	617
445	5005	606
446	5012	594
447	5019	582
448	5025	570
449	5032	559
450	5037	547
451	5044	535
452	5050	524
453	5057	512
454	5064	500
455	5069	489
456	5076	477
457	5083	466
458	5090	454
459	5096	443
460	5103	431
461	5110	420
462	5116	408
463	5123	397
464	5129	386
465	5135	374
466	5142	363
467	5148	352
468	5155	340
469	5161	329
470	5167	318
471	5174	306
472	5180	295
473	5188	284
474	5194	273
475	5200	262
476	5207	251
477	5213	239
478	5221	228
479	5227	217
480	5235	206
481	5242	195
482	5248	184
483	5255	173
484	5261	162
485	5268	151
486	5274	140
487	5281	129
488	5288	118
489	5294	108
490	5301	97
491	5308	86
492	5314	75
493	5321	64
494	5329	53
495	5337	43
496	5344	32
497	5351	21
498	5357	10
499	5364	0
