iter	RMSE
452	0.1273981175
453	0.1273649201
454	0.127326308
455	0.1272935525
456	0.1272546683
457	0.1272209995
458	0.1271658887
459	0.127097016
460	0.1270152473
461	0.1269724012
462	0.1269327425
463	0.1268760941
464	0.1268327896
465	0.1267747087
466	0.1267441245
467	0.1266949228
468	0.1266481437
469	0.1265918122
470	0.1265478074
471	0.1264996688
472	0.1264613866
473	0.1264090781
474	0.1263468929
475	0.1263068223
476	0.1262686842
477	0.1262200849
478	0.1261788965
479	0.126136809
480	0.1260893397
481	0.126029658
482	0.1259905997
483	0.125947473
484	0.1259092048
485	0.1258754941
486	0.1258508005
487	0.1258190286
488	0.125787435
489	0.1257684149
490	0.1257320628
491	0.1256994983
492	0.1256569149
493	0.1255951349
494	0.1255319059
495	0.1255065228
496	0.1254568956
497	0.1254219505
498	0.1253955711
499	0.1253455018
